Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SSM,SUSM,SUSMA,SSMA,SMP
2016,1,1,15.91,0.0,96.24,50.44,20.83,4.3,20.2,9.61,73.42,0.77,0.67,0.45
2016,1,2,14.48,0.0,96.28,46.56,20.87,2.87,20.16,9.67,75.08,0.78,0.68,0.46
2016,1,3,13.9,0.0,96.16,50.75,20.61,3.23,20.13,9.72,76.74,0.78,0.68,0.46
2016,1,4,13.98,0.0,96.15,62.0,20.96,2.69,20.3,9.46,74.37,0.76,0.68,0.45
2016,1,5,14.58,0.0,96.09,58.81,21.33,1.73,20.51,9.19,72.0,0.75,0.68,0.44
2016,1,6,14.76,0.0,96.06,57.5,22.1,2.29,21.19,8.93,69.62,0.73,0.68,0.42
2016,1,7,14.97,0.0,96.12,61.12,21.97,2.1,20.94,8.67,67.62,0.73,0.68,0.41
2016,1,8,14.93,0.0,96.14,53.5,21.94,1.91,21.04,8.41,65.62,0.72,0.67,0.4
2016,1,9,13.16,0.0,95.96,55.31,22.33,2.59,21.3,8.15,63.62,0.71,0.67,0.38
2016,1,10,12.52,0.0,96.05,61.0,21.49,1.77,20.51,7.88,61.7,0.71,0.65,0.37
2016,1,11,13.51,0.0,96.07,59.75,21.32,2.22,20.38,7.6,59.78,0.7,0.64,0.36
2016,1,12,13.39,0.0,95.91,60.0,21.83,2.49,20.87,7.33,57.86,0.69,0.62,0.35
2016,1,13,14.12,0.0,95.9,66.94,20.3,1.88,20.1,7.1,56.05,0.68,0.61,0.34
2016,1,14,13.01,0.0,95.89,58.0,21.44,2.55,20.73,6.87,54.24,0.67,0.59,0.33
2016,1,15,14.87,0.0,95.83,73.19,22.13,2.41,20.9,6.64,52.43,0.66,0.58,0.32
2016,1,16,15.55,0.0,95.75,69.38,23.58,3.23,21.9,6.58,50.86,0.65,0.64,0.31
2016,1,17,15.68,0.0,95.75,81.56,23.48,3.62,21.94,6.51,49.29,0.65,0.7,0.3
2016,1,18,16.09,0.0,95.69,80.69,24.38,3.73,22.78,6.45,47.72,0.64,0.76,0.29
2016,1,19,17.81,0.01,95.68,111.69,25.68,2.45,24.06,6.31,46.71,0.67,0.79,0.28
2016,1,20,18.8,0.34,95.79,105.12,25.4,2.28,24.01,6.17,45.7,0.69,0.81,0.28
2016,1,21,19.3,0.64,95.85,88.69,26.28,3.41,24.68,6.03,44.69,0.72,0.84,0.27
2016,1,22,17.49,0.34,95.95,73.88,24.73,2.78,23.55,5.77,43.52,0.72,0.71,0.26
2016,1,23,19.15,0.05,95.98,70.0,25.72,3.67,24.26,5.51,42.34,0.72,0.59,0.26
2016,1,24,18.83,0.01,96.02,76.12,26.42,2.81,24.82,5.25,41.17,0.72,0.47,0.25
2016,1,25,18.57,0.0,95.94,83.38,26.79,2.91,24.95,5.07,39.95,0.71,0.43,0.24
2016,1,26,18.08,0.0,95.88,105.31,26.9,2.79,25.05,4.89,38.74,0.69,0.39,0.23
2016,1,27,17.15,0.0,95.88,84.25,26.85,3.35,25.0,4.71,37.52,0.67,0.36,0.23
2016,1,28,15.01,0.0,95.91,85.25,26.09,2.73,24.49,4.55,36.33,0.64,0.32,0.22
2016,1,29,13.85,0.0,95.97,92.5,25.13,5.18,24.17,4.39,35.13,0.61,0.28,0.21
2016,1,30,14.1,0.0,95.99,72.88,24.8,3.55,23.4,4.23,33.94,0.58,0.24,0.2
2016,1,31,13.64,0.0,95.94,69.0,24.24,4.62,23.19,4.1,32.83,0.55,0.21,0.2
2016,2,1,10.65,0.0,95.95,80.31,23.96,4.05,22.98,3.97,31.72,0.51,0.18,0.19
2016,2,2,10.31,0.0,95.98,66.25,23.94,4.28,23.25,3.84,30.61,0.47,0.15,0.18
2016,2,3,11.21,0.0,95.89,125.88,23.97,4.88,23.6,3.76,29.76,0.45,0.15,0.18
2016,2,4,12.77,0.0,95.91,78.12,24.26,5.2,23.26,3.68,28.91,0.43,0.14,0.18
2016,2,5,14.17,0.0,95.87,82.56,25.51,3.05,23.86,3.6,28.06,0.41,0.14,0.17
2016,2,6,14.74,0.0,95.77,103.69,26.31,4.05,24.47,3.49,27.2,0.38,0.1,0.16
2016,2,7,16.87,0.0,95.84,139.31,27.82,4.8,25.8,3.38,26.35,0.35,0.07,0.16
2016,2,8,17.7,0.0,95.82,80.69,28.11,4.28,26.15,3.26,25.49,0.31,0.03,0.16
2016,2,9,14.86,0.0,95.82,79.38,27.4,3.66,25.47,3.19,24.74,0.28,0.01,0.15
2016,2,10,14.51,0.0,95.76,84.31,27.78,3.49,25.59,3.11,23.98,0.24,-0.0,0.15
2016,2,11,15.13,0.0,95.72,102.88,28.72,5.3,26.38,3.03,23.23,0.2,-0.02,0.14
2016,2,12,14.06,0.0,95.72,107.25,28.3,4.77,26.39,2.97,22.62,0.17,-0.03,0.14
2016,2,13,15.04,0.0,95.74,110.5,28.33,4.77,26.28,2.91,22.0,0.14,-0.05,0.13
2016,2,14,14.03,0.0,95.79,76.69,26.9,4.41,25.12,2.85,21.39,0.11,-0.06,0.13
2016,2,15,15.43,0.0,95.9,90.94,26.84,4.02,24.73,2.8,20.86,0.08,-0.07,0.13
2016,2,16,16.13,0.0,95.93,88.19,27.76,4.53,25.53,2.75,20.34,0.05,-0.09,0.12
2016,2,17,16.31,0.0,95.93,72.25,27.36,5.1,25.29,2.7,19.82,0.02,-0.1,0.12
2016,2,18,16.73,0.0,95.91,79.62,27.47,5.16,25.65,2.64,19.38,-0.02,-0.13,0.12
2016,2,19,16.01,0.0,96.01,77.12,27.21,4.45,25.27,2.58,18.94,-0.06,-0.16,0.12
2016,2,20,16.77,0.0,95.96,92.44,29.84,3.91,27.41,2.52,18.5,-0.09,-0.19,0.11
2016,2,21,16.15,0.0,95.85,117.0,31.46,4.94,28.72,2.49,18.11,-0.14,-0.21,0.11
2016,2,22,14.31,0.0,95.93,124.0,30.68,4.5,28.24,2.46,17.71,-0.18,-0.23,0.11
2016,2,23,12.98,0.0,95.86,128.38,29.47,3.84,26.83,2.43,17.31,-0.23,-0.25,0.11
2016,2,24,12.83,0.0,95.77,160.81,29.38,3.6,26.94,2.43,17.07,-0.24,-0.23,0.11
2016,2,25,15.92,0.0,95.8,150.19,30.35,5.69,27.84,2.42,16.83,-0.25,-0.21,0.1
2016,2,26,17.07,0.0,95.96,111.31,30.02,4.16,27.59,2.42,16.58,-0.27,-0.19,0.1
2016,2,27,17.35,0.0,96.05,95.38,28.27,4.2,26.09,2.41,16.47,-0.26,-0.2,0.1
2016,2,28,17.62,0.0,96.13,100.44,29.92,5.08,27.66,2.4,16.36,-0.26,-0.2,0.1
2016,2,29,16.67,0.0,96.11,89.62,27.89,4.25,26.23,2.4,16.25,-0.25,-0.21,0.1
2016,3,1,17.16,0.0,95.93,91.56,29.01,4.29,26.79,2.38,16.13,-0.27,-0.22,0.1
2016,3,2,16.33,0.0,95.95,87.5,28.23,2.89,26.4,2.36,16.02,-0.28,-0.23,0.1
2016,3,3,15.3,0.0,95.99,82.94,29.16,4.59,27.13,2.34,15.9,-0.3,-0.24,0.1
2016,3,4,13.24,0.0,95.89,69.81,26.92,3.7,25.62,2.35,15.83,-0.31,-0.25,0.1
2016,3,5,14.55,0.0,95.78,88.62,28.52,4.05,26.41,2.35,15.76,-0.32,-0.25,0.1
2016,3,6,13.73,0.0,95.72,112.19,30.12,4.49,27.4,2.36,15.7,-0.34,-0.25,0.1
2016,3,7,14.6,0.0,95.69,100.5,30.06,3.87,27.43,2.35,15.65,-0.35,-0.26,0.1
2016,3,8,14.44,0.0,95.63,98.56,30.76,5.01,27.68,2.33,15.6,-0.36,-0.27,0.1
2016,3,9,13.73,0.0,95.68,129.94,31.28,4.98,28.62,2.32,15.55,-0.38,-0.28,0.1
2016,3,10,15.62,0.0,95.77,121.0,30.55,4.3,28.15,2.33,15.5,-0.39,-0.28,0.1
2016,3,11,14.32,0.0,95.74,119.06,32.45,4.73,29.36,2.35,15.45,-0.41,-0.28,0.1
2016,3,12,16.98,0.0,95.71,161.19,32.31,3.49,29.58,2.36,15.4,-0.42,-0.28,0.1
2016,3,13,16.93,0.02,95.69,167.62,33.03,4.23,30.19,2.51,15.68,-0.4,-0.23,0.1
2016,3,14,17.81,0.31,95.72,140.38,32.13,3.72,29.52,2.66,15.96,-0.37,-0.18,0.1
2016,3,15,18.48,6.17,95.7,155.06,32.19,2.87,29.36,2.81,16.24,-0.35,-0.13,0.1
2016,3,16,17.95,1.58,95.63,137.62,32.74,4.55,29.76,2.65,16.24,-0.35,-0.19,0.1
