Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SUSM,SSM,SMP,SSMA,SUSMA
2016,1,1,1.26,0.0,99.47,76.69,18.56,1.57,18.52,9.6,2.74,0.11,-0.22,-0.2
2016,1,2,0.23,0.0,99.54,63.88,18.65,2.43,18.6,9.63,2.73,0.11,-0.22,-0.2
2016,1,3,-1.65,0.0,99.36,107.88,18.18,2.91,19.9,9.66,2.71,0.11,-0.22,-0.19
2016,1,4,-0.95,0.0,99.28,228.19,19.6,2.55,20.97,9.64,2.71,0.11,-0.22,-0.2
2016,1,5,2.71,0.0,99.18,247.12,19.83,2.27,20.85,9.63,2.72,0.11,-0.21,-0.21
2016,1,6,4.13,0.0,99.14,175.62,18.75,1.98,19.05,9.61,2.72,0.11,-0.21,-0.22
2016,1,7,5.48,0.0,99.29,200.62,20.3,3.3,19.83,9.61,2.72,0.11,-0.21,-0.22
2016,1,8,4.55,0.0,99.38,131.25,19.03,3.11,18.62,9.62,2.72,0.11,-0.22,-0.22
2016,1,9,0.3,0.0,99.21,153.19,17.66,2.91,18.14,9.62,2.71,0.11,-0.22,-0.22
2016,1,10,-3.29,0.0,99.17,187.75,17.76,1.52,19.52,9.71,2.79,0.11,-0.16,-0.19
2016,1,11,-2.56,0.0,99.18,210.81,17.56,2.48,19.15,9.81,2.86,0.12,-0.1,-0.16
2016,1,12,2.54,0.0,99.0,220.62,17.38,3.23,18.87,9.91,2.94,0.12,-0.04,-0.13
2016,1,13,1.75,0.0,99.04,111.06,17.53,1.59,17.03,9.92,2.89,0.12,-0.08,-0.14
2016,1,14,-1.06,0.0,99.09,129.38,16.77,3.12,15.98,9.93,2.85,0.12,-0.12,-0.14
2016,1,15,0.73,0.0,99.07,44.5,16.08,2.05,15.4,9.94,2.81,0.12,-0.17,-0.15
2016,1,16,-2.45,0.0,98.94,93.0,16.18,2.85,15.44,9.89,2.8,0.12,-0.17,-0.17
2016,1,17,-2.56,0.0,98.81,151.0,16.85,2.65,16.9,9.83,2.8,0.12,-0.18,-0.2
2016,1,18,-0.24,0.0,98.76,178.06,17.35,2.4,17.52,9.78,2.79,0.12,-0.19,-0.22
2016,1,19,1.0,0.0,98.9,103.94,16.33,2.75,16.48,9.7,2.76,0.11,-0.21,-0.25
2016,1,20,-7.09,0.0,99.28,43.44,14.6,1.61,15.19,9.62,2.73,0.11,-0.24,-0.28
2016,1,21,-9.14,0.0,99.42,198.31,14.6,3.02,16.17,9.54,2.71,0.11,-0.26,-0.31
2016,1,22,-10.17,0.0,99.3,212.94,14.72,1.92,17.01,9.53,2.71,0.11,-0.26,-0.32
2016,1,23,-8.05,0.0,99.36,171.81,15.4,1.98,16.81,9.52,2.71,0.11,-0.26,-0.32
2016,1,24,-6.64,0.0,99.29,159.56,16.21,3.21,16.02,9.51,2.71,0.11,-0.26,-0.33
2016,1,25,-9.08,0.0,99.08,141.69,16.19,2.88,16.08,9.48,2.69,0.11,-0.28,-0.34
2016,1,26,-8.52,0.0,98.91,213.75,17.1,1.41,18.51,9.46,2.67,0.11,-0.3,-0.34
2016,1,27,-4.12,0.0,98.97,207.19,17.74,3.52,18.36,9.43,2.65,0.11,-0.31,-0.35
2016,1,28,-0.94,0.0,99.06,190.38,19.53,2.07,19.9,9.43,2.66,0.11,-0.29,-0.35
2016,1,29,4.6,0.0,99.08,203.44,21.16,5.12,21.58,9.43,2.68,0.11,-0.26,-0.34
2016,1,30,9.15,0.0,99.05,251.12,21.89,2.66,21.61,9.42,2.69,0.11,-0.24,-0.33
2016,1,31,8.26,0.0,99.03,149.25,21.9,3.75,21.4,9.45,2.69,0.11,-0.22,-0.3
2016,2,1,1.95,0.0,99.15,145.44,20.27,3.48,19.05,9.48,2.69,0.11,-0.2,-0.26
2016,2,2,-7.67,0.0,99.25,147.25,18.31,2.42,17.33,9.52,2.69,0.11,-0.18,-0.23
2016,2,3,-9.9,0.0,99.32,54.38,17.37,1.98,16.63,9.45,2.67,0.11,-0.2,-0.26
2016,2,4,-10.25,0.0,99.2,65.94,17.65,2.49,17.19,9.38,2.65,0.11,-0.21,-0.28
2016,2,5,-9.56,0.0,98.95,150.12,18.43,3.2,18.01,9.32,2.63,0.11,-0.22,-0.3
2016,2,6,-7.79,0.0,98.64,221.88,18.37,4.09,18.33,9.32,2.64,0.11,-0.21,-0.29
2016,2,7,-7.07,0.0,99.02,157.56,17.76,3.8,17.54,9.32,2.65,0.11,-0.19,-0.28
2016,2,8,-6.13,0.0,99.16,56.75,18.55,2.55,17.92,9.32,2.65,0.11,-0.17,-0.26
2016,2,9,-5.45,0.0,98.96,173.44,18.8,3.26,18.55,9.32,2.65,0.11,-0.16,-0.25
2016,2,10,-6.33,0.0,98.67,207.06,18.77,1.5,19.0,9.31,2.65,0.11,-0.15,-0.24
2016,2,11,-6.37,0.0,98.63,280.75,18.52,3.82,18.36,9.31,2.65,0.11,-0.14,-0.23
2016,2,12,-8.74,0.0,98.67,190.94,17.86,3.98,18.11,9.24,2.63,0.11,-0.17,-0.27
2016,2,13,-7.92,0.0,98.95,187.44,17.33,3.11,17.06,9.16,2.6,0.11,-0.2,-0.31
2016,2,14,-5.5,0.0,99.14,110.38,18.03,4.15,16.84,9.09,2.58,0.11,-0.23,-0.34
2016,2,15,-5.06,0.0,99.22,42.25,18.26,3.55,17.26,9.11,2.6,0.11,-0.18,-0.32
2016,2,16,-2.88,0.0,99.25,54.06,20.14,2.97,19.19,9.12,2.62,0.11,-0.14,-0.3
2016,2,17,2.48,0.5,99.15,55.38,23.19,3.14,22.33,9.14,2.64,0.11,-0.09,-0.27
2016,2,18,7.65,1.4,98.93,116.56,25.15,4.82,24.29,9.31,2.68,0.11,-0.04,-0.12
2016,2,19,10.7,0.1,98.89,193.0,25.29,5.8,25.4,9.48,2.71,0.11,0.02,0.03
2016,2,20,8.82,0.02,99.12,273.88,24.14,2.25,23.01,9.65,2.74,0.11,0.07,0.18
2016,2,21,1.23,0.0,99.16,150.5,22.47,1.06,21.34,9.51,2.69,0.11,-0.01,0.08
2016,2,22,-6.45,0.0,99.14,166.88,21.94,2.52,21.73,9.38,2.63,0.11,-0.1,-0.02
2016,2,23,-7.35,0.0,98.95,203.56,21.96,2.12,22.62,9.24,2.57,0.11,-0.18,-0.12
2016,2,24,-7.99,0.0,98.76,170.62,23.03,2.41,23.37,9.18,2.56,0.11,-0.19,-0.16
2016,2,25,-8.49,0.0,98.86,95.81,23.81,2.71,23.47,9.13,2.56,0.11,-0.21,-0.2
