Year,MO,DY,T2M,T2MDEW,TS,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM,SSMA,SMP,SUSMA
2016,1,1,18.46,6.41,16.17,0.0,1.41,100.29,258.19,2.74,12.28,-0.93,0.12,-0.96
2016,1,2,18.42,5.8,15.91,0.0,1.53,100.22,254.56,2.77,12.28,-0.93,0.12,-0.96
2016,1,3,17.88,6.62,16.31,0.0,1.66,100.06,327.5,2.79,12.28,-0.93,0.12,-0.96
2016,1,4,17.58,3.58,14.83,0.0,1.25,100.14,267.81,2.78,12.24,-0.93,0.12,-0.96
2016,1,5,17.72,5.41,15.56,0.0,1.48,100.04,236.0,2.76,12.2,-0.93,0.11,-0.95
2016,1,6,18.32,6.98,16.19,0.0,1.27,100.06,271.31,2.74,12.15,-0.94,0.11,-0.95
2016,1,7,18.85,8.21,17.44,0.0,1.6,100.1,253.25,2.74,12.12,-0.93,0.11,-0.95
2016,1,8,19.62,9.36,18.65,0.0,2.13,99.9,277.25,2.74,12.09,-0.92,0.11,-0.95
2016,1,9,19.09,8.85,18.4,0.0,3.31,99.67,293.81,2.74,12.06,-0.91,0.11,-0.94
2016,1,10,18.24,5.19,17.15,0.0,2.3,100.02,330.25,2.72,12.0,-0.91,0.11,-0.94
2016,1,11,17.15,3.67,15.67,0.0,2.11,100.03,277.69,2.7,11.94,-0.9,0.11,-0.94
2016,1,12,17.3,5.05,15.8,0.0,1.84,99.87,256.56,2.68,11.89,-0.9,0.11,-0.93
2016,1,13,17.65,6.06,15.83,0.0,1.76,99.78,313.5,2.67,11.84,-0.89,0.11,-0.92
2016,1,14,18.61,7.51,17.25,0.0,1.86,99.82,237.25,2.67,11.79,-0.88,0.11,-0.92
2016,1,15,18.7,9.33,18.28,0.0,2.69,99.64,270.31,2.66,11.74,-0.87,0.11,-0.91
2016,1,16,19.34,9.13,18.64,0.0,2.06,99.58,219.38,4.19,12.67,-0.3,0.13,-0.82
2016,1,17,19.85,8.29,18.33,0.0,1.7,99.73,57.06,5.71,13.6,0.27,0.15,-0.72
2016,1,18,18.85,8.48,18.29,0.11,1.58,99.69,196.06,7.24,14.54,0.84,0.17,-0.63
2016,1,19,19.5,13.44,19.4,5.83,2.63,99.64,181.69,6.39,16.58,0.56,0.18,-0.43
2016,1,20,18.78,16.68,18.8,13.82,2.5,99.69,174.12,5.54,18.62,0.28,0.19,-0.23
2016,1,21,16.02,8.05,16.37,0.07,4.37,100.01,324.38,4.69,20.67,-0.01,0.2,-0.02
2016,1,22,14.54,5.14,14.59,0.0,3.27,100.12,324.25,4.5,20.15,-0.06,0.19,-0.05
2016,1,23,13.89,1.59,13.64,0.0,3.02,100.21,328.31,4.31,19.64,-0.11,0.18,-0.07
2016,1,24,13.97,1.47,13.42,0.0,2.72,100.16,236.56,4.12,19.13,-0.16,0.18,-0.09
2016,1,25,15.68,1.8,13.98,0.0,1.6,99.99,235.38,3.95,18.46,-0.21,0.17,-0.13
2016,1,26,16.62,6.28,15.27,0.0,1.49,99.94,191.06,3.79,17.79,-0.26,0.17,-0.17
2016,1,27,17.02,11.98,16.94,0.0,2.7,99.77,176.62,3.62,17.12,-0.3,0.16,-0.21
2016,1,28,19.45,12.78,18.74,0.0,1.62,99.78,185.31,3.46,16.45,-0.36,0.15,-0.26
2016,1,29,19.29,6.5,17.98,0.0,2.02,99.94,223.31,3.31,15.78,-0.41,0.15,-0.31
2016,1,30,21.05,8.59,19.18,0.0,1.45,99.83,299.38,3.15,15.1,-0.46,0.14,-0.36
2016,1,31,21.33,9.77,20.31,0.0,2.3,99.7,297.62,3.07,14.64,-0.48,0.14,-0.4
2016,2,1,21.51,9.73,20.84,0.0,2.7,99.82,309.62,3.0,14.18,-0.51,0.13,-0.44
2016,2,2,21.87,10.45,21.33,0.0,1.77,99.89,207.75,2.92,13.72,-0.53,0.13,-0.48
2016,2,3,20.5,9.46,20.64,0.0,2.45,99.84,231.88,2.86,13.4,-0.55,0.12,-0.5
2016,2,4,19.76,5.96,19.31,0.0,1.61,99.97,218.81,2.78,13.08,-0.56,0.12,-0.52
2016,2,5,19.3,5.7,18.69,0.0,1.73,99.86,231.44,2.72,12.76,-0.58,0.12,-0.55
2016,2,6,20.52,6.58,19.36,0.0,1.3,99.73,95.44,2.71,12.55,-0.56,0.12,-0.55
2016,2,7,21.2,13.66,21.25,0.0,2.28,99.8,161.38,2.7,12.33,-0.54,0.12,-0.56
2016,2,8,22.12,17.37,22.69,10.63,2.23,99.68,160.81,2.7,12.12,-0.52,0.11,-0.57
2016,2,9,20.83,13.48,21.01,0.22,2.62,99.68,187.88,2.66,12.05,-0.51,0.11,-0.56
2016,2,10,20.99,8.3,20.2,0.0,1.62,99.6,244.38,2.63,11.97,-0.5,0.11,-0.56
2016,2,11,21.82,12.67,21.86,0.0,2.54,99.44,172.62,2.6,11.9,-0.49,0.11,-0.56
2016,2,12,23.08,11.58,22.8,0.0,2.02,99.46,202.75,2.6,11.82,-0.48,0.11,-0.57
2016,2,13,22.71,8.89,22.17,0.0,1.61,99.69,73.38,2.61,11.74,-0.48,0.11,-0.57
2016,2,14,23.7,13.56,23.76,0.0,1.52,99.71,153.5,2.61,11.66,-0.48,0.11,-0.58
2016,2,15,24.78,14.87,24.55,0.06,1.19,99.88,167.81,2.6,11.61,-0.48,0.11,-0.58
2016,2,16,26.05,13.02,25.34,0.03,1.16,99.94,199.0,2.58,11.56,-0.49,0.11,-0.59
