Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SUSM,SSM,SUSMA,SSMA,SMP
2016,1,1,7.73,0.0,96.45,62.0,18.41,2.62,20.04,26.31,4.03,-0.4,-0.48,0.18
2016,1,2,9.94,0.0,96.41,196.0,18.97,1.6,19.76,26.82,4.08,-0.4,-0.47,0.18
2016,1,3,10.8,0.0,96.26,215.56,18.52,2.62,19.03,27.32,4.13,-0.4,-0.47,0.18
2016,1,4,7.55,0.0,96.33,28.69,17.49,1.9,18.63,26.59,4.03,-0.43,-0.48,0.18
2016,1,5,5.01,0.0,96.26,156.44,16.88,3.95,18.6,25.86,3.92,-0.45,-0.49,0.18
2016,1,6,6.33,0.0,96.25,93.69,17.55,2.8,19.37,25.13,3.82,-0.48,-0.5,0.17
2016,1,7,6.51,0.0,96.3,184.25,17.73,2.7,19.1,24.5,3.75,-0.49,-0.5,0.17
2016,1,8,7.0,0.0,96.23,222.69,18.25,3.83,19.42,23.88,3.67,-0.51,-0.5,0.16
2016,1,9,8.68,0.0,96.02,224.31,19.1,4.8,20.14,23.25,3.59,-0.53,-0.5,0.16
2016,1,10,9.27,0.0,96.19,219.06,19.19,1.98,19.92,22.82,3.53,-0.53,-0.5,0.15
2016,1,11,6.33,0.0,96.24,167.94,17.85,2.63,18.95,22.39,3.47,-0.53,-0.5,0.15
2016,1,12,3.69,0.0,96.08,188.94,16.87,3.71,18.76,21.96,3.41,-0.54,-0.5,0.15
2016,1,13,3.17,0.0,96.01,203.0,16.71,3.88,18.61,21.58,3.35,-0.54,-0.5,0.15
2016,1,14,4.23,0.0,96.04,73.5,17.6,2.38,19.48,21.2,3.29,-0.54,-0.51,0.14
2016,1,15,7.64,0.0,95.91,200.06,18.59,3.38,19.38,20.82,3.23,-0.54,-0.51,0.14
2016,1,16,8.08,0.0,95.83,220.19,19.26,2.22,20.32,20.46,3.19,-0.54,-0.51,0.14
2016,1,17,9.69,0.0,95.84,166.5,20.69,2.38,20.65,20.1,3.15,-0.55,-0.51,0.14
2016,1,18,11.51,0.0,95.79,196.62,21.31,2.52,20.86,19.74,3.11,-0.55,-0.52,0.13
2016,1,19,13.56,0.0,95.75,192.0,22.13,3.4,21.59,19.46,3.07,-0.55,-0.52,0.13
2016,1,20,15.34,1.88,95.91,203.81,20.75,2.11,20.17,19.18,3.03,-0.55,-0.52,0.13
2016,1,21,8.33,0.37,96.17,247.75,17.8,2.89,17.09,18.89,2.99,-0.55,-0.52,0.13
2016,1,22,1.65,0.0,96.27,158.19,15.55,2.27,15.77,18.63,2.93,-0.56,-0.53,0.13
2016,1,23,0.99,0.0,96.35,158.19,15.45,1.53,16.06,18.37,2.88,-0.56,-0.54,0.12
2016,1,24,-1.24,0.0,96.28,171.0,15.8,2.91,17.07,18.11,2.82,-0.57,-0.56,0.12
2016,1,25,2.35,0.0,96.13,190.56,16.66,2.76,17.28,17.83,2.78,-0.58,-0.56,0.12
2016,1,26,8.8,0.0,96.03,194.62,18.83,1.38,18.5,17.55,2.75,-0.59,-0.57,0.12
2016,1,27,12.9,0.0,95.92,205.88,20.71,2.97,20.37,17.27,2.71,-0.6,-0.58,0.12
2016,1,28,9.33,0.0,95.96,199.06,21.0,3.54,21.64,17.02,2.67,-0.61,-0.59,0.12
2016,1,29,6.44,0.0,96.13,111.12,20.37,2.58,21.4,16.77,2.63,-0.62,-0.59,0.11
2016,1,30,6.26,0.0,96.11,251.12,20.33,4.52,21.63,16.52,2.59,-0.63,-0.6,0.11
2016,1,31,6.34,0.0,95.99,211.25,21.44,3.84,22.98,16.34,2.57,-0.64,-0.61,0.11
2016,2,1,6.36,0.0,96.05,136.5,21.52,3.13,22.7,16.16,2.55,-0.65,-0.61,0.11
2016,2,2,8.37,0.0,96.05,175.56,22.5,2.56,22.71,15.97,2.53,-0.66,-0.61,0.11
2016,2,3,9.16,0.0,95.96,199.62,22.69,2.23,22.67,15.89,2.53,-0.66,-0.6,0.11
2016,2,4,9.25,0.0,96.05,196.25,22.03,2.34,21.85,15.81,2.53,-0.66,-0.59,0.11
2016,2,5,10.46,0.02,96.02,199.19,22.08,2.7,21.63,15.73,2.53,-0.66,-0.58,0.11
2016,2,6,9.9,0.0,95.86,203.5,22.45,2.34,21.78,15.7,2.53,-0.66,-0.57,0.11
2016,2,7,13.77,0.0,95.95,193.69,24.1,2.72,22.97,15.68,2.54,-0.65,-0.56,0.11
2016,2,8,14.05,0.0,95.89,216.62,25.05,2.98,24.04,15.65,2.54,-0.64,-0.55,0.11
2016,2,9,10.08,0.0,95.93,239.56,22.65,2.52,22.15,15.62,2.53,-0.64,-0.53,0.11
2016,2,10,7.69,0.0,95.83,206.19,22.4,3.72,22.16,15.6,2.52,-0.64,-0.51,0.11
2016,2,11,15.34,0.0,95.68,213.19,25.05,4.27,24.41,15.57,2.51,-0.64,-0.5,0.11
2016,2,12,13.77,0.0,95.7,235.69,26.07,3.38,25.33,15.52,2.51,-0.65,-0.5,0.11
2016,2,13,14.01,0.0,95.8,201.25,26.9,1.95,25.49,15.47,2.5,-0.66,-0.51,0.11
2016,2,14,14.69,0.0,95.87,209.25,26.73,1.91,25.45,15.42,2.5,-0.67,-0.51,0.1
2016,2,15,13.51,0.0,96.01,176.62,27.59,3.64,25.87,15.37,2.49,-0.68,-0.52,0.1
2016,2,16,11.15,0.0,96.12,178.25,26.71,2.79,25.49,15.32,2.47,-0.69,-0.54,0.1
2016,2,17,9.67,0.0,96.15,114.25,26.83,2.23,25.55,15.27,2.45,-0.7,-0.55,0.1
2016,2,18,9.32,0.0,96.05,174.94,26.7,1.95,25.9,15.18,2.44,-0.71,-0.55,0.1
2016,2,19,7.62,0.0,96.08,248.31,26.58,3.5,26.23,15.08,2.42,-0.72,-0.56,0.1
2016,2,20,6.75,0.0,95.99,247.31,27.03,3.62,27.33,14.98,2.41,-0.73,-0.56,0.1
2016,2,21,6.65,0.0,95.82,237.56,27.1,3.27,27.14,14.95,2.48,-0.73,-0.55,0.1
2016,2,22,10.58,0.0,95.91,221.38,28.51,2.86,27.58,14.91,2.54,-0.73,-0.53,0.1
2016,2,23,14.39,0.0,95.82,217.75,29.37,3.91,28.23,14.88,2.61,-0.73,-0.51,0.1
2016,2,24,15.69,0.0,95.75,224.12,28.15,4.55,27.2,16.08,3.96,-0.62,-0.06,0.12
2016,2,25,16.46,0.13,95.87,174.31,28.42,4.44,26.89,17.29,5.31,-0.51,0.39,0.13
2016,2,26,16.27,0.23,96.08,159.88,28.1,5.43,26.28,18.49,6.66,-0.4,0.84,0.15
2016,2,27,17.26,3.1,96.15,186.38,27.3,4.09,25.64,20.26,5.71,-0.27,0.51,0.15
2016,2,28,16.41,1.7,96.27,197.0,27.38,2.26,25.64,22.02,4.76,-0.14,0.17,0.16
2016,2,29,13.87,0.39,96.25,215.38,27.34,3.76,25.78,23.79,3.82,-0.01,-0.16,0.16
2016,3,1,13.6,0.01,96.04,204.0,26.7,1.8,25.33,23.49,3.71,-0.05,-0.21,0.16
2016,3,2,13.98,0.0,96.04,160.38,28.51,2.8,26.42,23.2,3.6,-0.09,-0.25,0.16
2016,3,3,11.65,0.0,96.1,152.12,28.15,2.9,26.55,22.9,3.5,-0.14,-0.29,0.16
2016,3,4,7.85,0.0,95.93,222.38,27.4,1.7,26.54,22.38,3.38,-0.19,-0.33,0.15
2016,3,5,9.58,0.1,95.78,227.25,29.24,2.23,27.87,21.86,3.26,-0.25,-0.38,0.15
2016,3,6,11.0,0.03,95.77,196.25,31.17,2.8,29.07,21.34,3.15,-0.3,-0.42,0.14
2016,3,7,6.95,0.1,95.75,192.38,30.12,3.21,28.24,20.78,3.06,-0.35,-0.45,0.14
2016,3,8,7.37,0.0,95.67,227.19,29.58,3.32,28.15,20.23,2.97,-0.4,-0.48,0.14
2016,3,9,7.85,0.0,95.71,230.12,28.66,2.73,27.73,19.67,2.88,-0.45,-0.52,0.13
2016,3,10,9.8,0.0,95.78,231.25,29.68,2.61,28.81,19.22,2.86,-0.49,-0.52,0.13
2016,3,11,9.28,0.0,95.81,194.75,29.88,3.75,28.98,18.77,2.84,-0.52,-0.52,0.13
2016,3,12,8.75,0.0,95.7,169.06,30.47,2.95,29.58,18.33,2.82,-0.56,-0.53,0.12
2016,3,13,7.94,0.01,95.68,174.88,31.12,4.3,29.43,18.64,3.0,-0.53,-0.47,0.13
2016,3,14,14.94,2.81,95.79,168.88,28.37,3.27,26.83,18.96,3.18,-0.51,-0.41,0.13
2016,3,15,17.52,4.12,95.81,218.88,28.15,3.83,26.37,19.28,3.37,-0.49,-0.35,0.13
2016,3,16,16.5,0.1,95.74,232.12,29.08,2.77,27.07,19.62,3.36,-0.46,-0.35,0.13
2016,3,17,15.33,0.3,95.75,195.75,29.98,2.32,28.2,19.97,3.34,-0.44,-0.36,0.14
2016,3,18,16.59,0.58,95.65,233.75,31.26,3.14,29.3,20.32,3.33,-0.41,-0.36,0.14
2016,3,19,14.96,0.07,95.51,249.75,31.8,3.52,30.24,20.29,3.25,-0.41,-0.38,0.14
2016,3,20,7.61,0.0,95.54,275.12,30.43,6.16,29.73,20.26,3.16,-0.41,-0.4,0.14
2016,3,21,5.04,0.0,95.46,244.25,30.27,4.63,29.54,20.23,3.08,-0.41,-0.41,0.14
2016,3,22,3.26,0.0,95.39,220.06,30.57,2.34,30.01,19.73,2.98,-0.43,-0.45,0.13
2016,3,23,3.24,0.0,95.59,206.94,29.85,2.7,28.92,19.22,2.87,-0.46,-0.48,0.13
2016,3,24,5.95,0.0,95.84,205.0,29.4,3.41,28.3,18.72,2.77,-0.49,-0.51,0.13
2016,3,25,10.4,0.0,95.9,212.88,30.83,3.23,28.65,18.25,2.72,-0.52,-0.53,0.12
2016,3,26,11.03,0.0,95.79,184.12,31.64,2.27,29.65,17.79,2.67,-0.55,-0.54,0.12
2016,3,27,13.3,0.57,95.72,209.19,32.56,5.96,30.05,17.32,2.63,-0.58,-0.56,0.12
2016,3,28,15.58,2.91,95.83,247.5,30.19,4.72,28.52,17.23,2.7,-0.59,-0.55,0.12
2016,3,29,15.13,0.01,95.8,242.88,31.62,2.89,29.55,17.14,2.78,-0.6,-0.53,0.12
2016,3,30,15.22,0.55,95.75,234.88,33.26,3.76,31.03,17.05,2.85,-0.61,-0.52,0.12
